,Unnamed: 0,sp500_x,gas_x,sp500_y,gas_y
1996-03-06 00:00:00,,,,-9.213086482377436,20.0
1996-03-07 00:00:00,,,,-9.182493284114388,20.0
1996-03-08 00:00:00,,,,-9.0499321938885,20.0
1996-03-11 00:00:00,,,,-8.939270102963235,20.0
1996-03-12 00:00:00,,,,-8.850904180100285,20.0
1996-03-13 00:00:00,,,,-8.773738727386206,20.0
1996-03-14 00:00:00,,,,-8.708555583091119,20.0
1996-03-15 00:00:00,,,,-8.659384497364641,20.0
1996-03-18 00:00:00,,,,-8.587019344145586,20.0
1996-03-19 00:00:00,,,,-8.530792873810256,20.0
1996-03-20 00:00:00,,,,-8.488954560905881,20.0
1996-03-21 00:00:00,,,,-8.459800213728155,20.0
1996-03-22 00:00:00,,,,-8.440090531310794,20.0
1996-03-25 00:00:00,,,,-8.43046123391898,20.0
1996-03-26 00:00:00,,,,-8.42614157462256,20.0
1996-03-27 00:00:00,,,,-8.419885174892764,20.0
1996-03-28 00:00:00,,,,-8.41706965116454,20.0
1996-03-29 00:00:00,,,,-8.421646635142952,20.0
1996-04-01 00:00:00,,,,-8.419482744639076,20.0
1996-04-02 00:00:00,,,,-8.425011994600641,20.0
1996-04-03 00:00:00,,,,-8.438138287680705,20.0
1996-04-04 00:00:00,,,,-8.458124719932059,20.0
1996-04-05 00:00:00,,,,-8.458124719932059,20.0
1996-04-08 00:00:00,,,,-8.445107997409345,20.0
1996-04-09 00:00:00,,,,-8.44465404253498,20.0
1996-04-10 00:00:00,,,,-8.427002690956208,20.0
1996-04-11 00:00:00,,,,-8.420802426306544,20.0
1996-04-12 00:00:00,,,,-8.40183964192435,20.0
1996-04-15 00:00:00,,,,-8.382500899480773,20.0
1996-04-16 00:00:00,,,,-8.373367260169188,20.0
1996-04-17 00:00:00,,,,-8.375205539768693,20.0
1996-04-18 00:00:00,,,,-8.384973286045188,20.0
1996-04-19 00:00:00,,,,-8.401773886928043,20.0
1996-04-22 00:00:00,,,,-8.413741710064684,20.0
1996-04-23 00:00:00,,,,-8.429271643869372,20.0
1996-04-24 00:00:00,,,,-8.450629916944688,20.0
1996-04-25 00:00:00,,,,-8.473065714420297,20.0
1996-04-26 00:00:00,,,,-8.50141088017982,20.0
1996-04-29 00:00:00,,,,-8.536453494722165,20.0
1996-04-30 00:00:00,,,,-8.57781011752581,20.0
1996-05-01 00:00:00,,,,-8.622674552724783,20.0
1996-05-02 00:00:00,,,,-8.63070915414147,20.0
1996-05-03 00:00:00,,,,-8.64909049350717,20.0
1996-05-06 00:00:00,,,,-8.676884961922484,20.0
1996-05-07 00:00:00,,,,-8.710484910900954,20.0
1996-05-08 00:00:00,,,,-8.708370898676304,19.61365059083291
1996-05-09 00:00:00,,,,-8.717961959020846,17.522483123691206
1996-05-10 00:00:00,,,,-8.708302106413239,15.598389070467906
1996-05-13 00:00:00,,,,-8.678955611586536,14.6983537586169
1996-05-14 00:00:00,,,,-8.659111937554767,14.12911506583259
1996-05-15 00:00:00,,,,-8.652034717701072,13.798707762453787
1996-05-16 00:00:00,,,,-8.656112531616277,13.261148053518276
1996-05-17 00:00:00,,,,-8.662048785765608,12.355648773379897
1996-05-20 00:00:00,,,,-8.669058594184296,10.81252936804161
1996-05-21 00:00:00,,,,-8.684871101273545,10.527669774769189
1996-05-22 00:00:00,,,,-8.699125321786372,10.4
1996-05-23 00:00:00,,,,-8.717496103550346,10.420448273444531
1996-05-24 00:00:00,,,,-8.742390999422309,10.758837445616622
1996-05-27 00:00:00,,,,-8.742390999422309,10.758837445616622
1996-05-28 00:00:00,,,,-8.751971620571195,12.160661279046508
1996-05-29 00:00:00,,,,-8.761968824619759,12.957152790879038
1996-05-30 00:00:00,,,,-8.771869246751548,13.324437096266179
1996-05-31 00:00:00,,,,-8.774396889858515,13.670030062652968
1996-06-03 00:00:00,,,,-8.751412914249777,13.97447633922434
1996-06-04 00:00:00,,,,-8.744221446080015,13.868769915303938
1996-06-05 00:00:00,,,,-8.729243273902151,13.66865105418225
1996-06-06 00:00:00,,,,-8.718425651914973,13.019080376869294
1996-06-07 00:00:00,,,,-8.723975137938025,12.122163506513287
1996-06-10 00:00:00,,,,-8.741961286524415,11.086604331851982
1996-06-11 00:00:00,,,,-8.768383424699907,10.338946488732445
1996-06-12 00:00:00,,,,-8.79649228764401,9.998549097658811
1996-06-13 00:00:00,,,,-8.83214848788362,9.594266838356813
1996-06-14 00:00:00,,,,-8.867675876133163,9.304359685460948
1996-06-17 00:00:00,,,,-8.908571127272122,8.747922503359856
1996-06-18 00:00:00,,,,-8.94961382631761,8.765240944576595
1996-06-19 00:00:00,,,,-8.994654872822457,8.749028441688669
1996-06-20 00:00:00,,,,-9.045649717976158,7.933655486543206
1996-06-21 00:00:00,,,,-9.064589652722733,7.167841805501586
1996-06-24 00:00:00,,,,-9.090069085286995,7.097924529252114
1996-06-25 00:00:00,,,,-9.124234181395694,7.011402026024331
1996-06-26 00:00:00,,,,-9.149789626105825,6.904724243734804
1996-06-27 00:00:00,,,,-9.166576905622565,6.856257209562696
1996-06-28 00:00:00,,,,-9.181463879590881,6.810809310920646
1996-07-01 00:00:00,,,,-9.19433668666491,6.813014838573919
1996-07-02 00:00:00,,,,-9.215155886874461,6.795604168941387
1996-07-03 00:00:00,,,,-9.241348467172932,6.770563787758749
1996-07-04 00:00:00,,,,-9.2763743368821,6.770563787758749
1996-07-05 00:00:00,,,,-9.212730333201925,6.770563787758749
1996-07-08 00:00:00,,,,-9.165973636466862,6.752625832128195
1996-07-09 00:00:00,,,,-9.128230551388382,6.722857496598533
1996-07-10 00:00:00,,,,-9.099844674294967,6.670287730592772
1996-07-11 00:00:00,,,,-9.035808471438548,6.631494645779207
1996-07-12 00:00:00,,,,-8.990504082106902,6.592722213292548
1996-07-15 00:00:00,,,,-8.897771337989333,6.5353916677026636
1996-07-16 00:00:00,,,,-8.821430814444053,6.465827723928067
1996-07-17 00:00:00,,,,-8.746223263054691,6.431319872515087
1996-07-18 00:00:00,,,,-8.656418524644142,6.487870435463965
1996-07-19 00:00:00,,,,-8.585951829612457,6.513557469896561
1996-07-22 00:00:00,,,,-8.533557395413155,6.546682003879845
1996-07-23 00:00:00,,,,-8.488216741119048,6.680488346406917
1996-07-24 00:00:00,,,,-8.451023194321127,6.771408374447504
1996-07-25 00:00:00,,,,-8.415375200805318,6.830760256068036
1996-07-26 00:00:00,,,,-8.383163929631381,7.705286480364208
1996-07-29 00:00:00,,,,-8.356127830598494,7.837675764996411
1996-07-30 00:00:00,,,,-8.321539448795976,7.963169193330002
1996-07-31 00:00:00,,,,-8.289637989504637,8.177743651994309
1996-08-01 00:00:00,,,,-8.23742665031599,8.101254242061225
1996-08-02 00:00:00,,,,-8.162488560042867,8.283515392200256
1996-08-05 00:00:00,,,,-8.102195961946727,8.663589791324407
1996-08-06 00:00:00,,,,-8.054697097133312,8.779143805479226
1996-08-07 00:00:00,,,,-8.019043259708404,8.342931805848904
