,sp500,us5,us10
2003-08-18,0.000103125,0.00609375,0.00734375
2003-08-19,5.3125e-05,0.0137109375,0.01828125
2003-08-20,-5e-05,-0.01041015625,-0.0125
2003-08-21,3.75e-05,-0.02234375,-0.01375
2003-08-22,-0.00011875,0.008125,0.0103125
2003-08-25,1.5625e-05,-0.009140625,-0.0096875
2003-08-26,2.1875e-05,0.007109375,0.00828125
2003-08-27,3.125e-06,-0.0096484375,-0.008125
2003-08-28,6.875e-05,0.02310546875,0.01953125
2003-08-29,8.125e-05,-0.00609375,-0.00328125
2003-09-01,,,
2003-09-02,0.000178125,,-0.02671875
2003-09-03,6.25e-05,0.00583984375,0.005
2003-09-04,1.5625e-05,0.01955078125,0.01609375
2003-09-05,-7.5e-05,0.036051411716930576,0.03015625
2003-09-08,0.000103125,-0.00421875,-0.0028125
2003-09-09,-8.125e-05,0.005859375,0.00328125
2003-09-10,-0.00013125,0.018515625,0.01671875
2003-09-11,4.0625e-05,-0.01078125,-0.00890625
2003-09-12,1.5625e-05,0.01078125,0.01171875
2003-09-15,-5e-05,0.00984375,0.00484375
2003-09-16,0.000190625,-0.00234375,-0.00703125
2003-09-17,-2.8125e-05,0.00984375,0.01203125
2003-09-18,0.000146875,-0.003515625,-0.0015625
2003-09-19,-5.3125e-05,-0.002346562440143915,0.00375
2003-09-22,-0.000146875,-0.007109375,-0.00875
2003-09-23,5.3125e-05,0.00609375,0.00328125
2003-09-24,-0.000228125,0.01015625,0.0128125
2003-09-25,-0.00011875,0.0025390625,0.00390625
2003-09-26,-4.0625e-05,0.017265625,0.014375
2003-09-29,0.000121875,-0.0055859375,-0.00656485872283854
2003-09-30,-0.000128125,0.025390625,0.0253125
2003-10-01,0.00028125,0.0,0.0
2003-10-02,3.75e-05,-0.0116796875,-0.0137109375
2003-10-03,0.0001125,-0.03173828125,-0.03463161099425559
2003-10-06,6.25e-05,0.011171875,0.00984375
2003-10-07,4.6875e-05,-0.0126953125,-0.014375
2003-10-08,-2.8125e-05,-0.00025390625,0.003125
2003-10-09,4.375e-05,-0.0025390625,-0.00921875
2003-10-10,2.5e-05,0.00279296875,0.00921875
2003-10-13,5e-05,,
2003-10-14,3.75e-05,,-0.01546875
2003-10-15,-3.75e-05,-0.0106640625,-0.00828125
2003-10-16,5.9375e-05,-0.01955078125,-0.0128125
2003-10-17,-0.00014375,0.0126953125,0.01375
2003-10-20,9.375e-05,0.00203125,0.00359375
2003-10-21,-2.1875e-05,0.0015234375,0.000625
2003-10-22,-0.0001625,0.01625,0.0159375
2003-10-23,-2.5e-05,-0.00482421875,-0.004375
2003-10-24,1.875e-05,0.0177734375,0.01828125
2003-10-27,9.375e-06,-0.0096484375,-0.00890625
2003-10-28,0.000175,0.0198046875,0.01484375
2003-10-29,1.875e-05,-0.01548828125,-0.01375
2003-10-30,2.8125e-05,-0.01548828125,-0.01265625
2003-10-31,1.25e-05,0.0055859375,0.0071875
2003-11-03,5.9375e-05,-0.0106640625,-0.010625
2003-11-04,-2.5e-05,0.00939453125,0.0090625
2003-11-05,1.5625e-05,-0.01142578125,-0.00843985715425152
2003-11-06,6.25e-05,-0.01091796875,-0.00896484375
2003-11-07,-0.0001,-0.0055859375,-0.00615234375
2003-11-10,-5.3125e-05,-0.002287736770918824,-0.0010546875
2003-11-11,-6.25e-06,,
2003-11-12,0.000140625,,0.00966796875
2003-11-13,1.25e-05,0.0281640625,0.02513671875
2003-11-14,-0.0001125,0.01612992471014882,0.01388671875
2003-11-17,-6.875e-05,0.008125,0.00861328125
2003-11-18,-0.000134375,0.00025390625,0.00298828125
2003-11-19,0.000103125,-0.0116796875,-0.01212890625
2003-11-20,-0.0001125,0.01244140625,0.0130078125
2003-11-21,5.3125e-05,0.001015625,0.000703125
2003-11-24,0.000165625,-0.01244140625,-0.01388671875
2003-11-25,4.6875e-05,0.0055859375,0.006328125
2003-11-26,4.375e-05,-0.01142578125,-0.01001953125
2003-11-27,,,
2003-11-28,1.25e-05,,-0.01740234375
2003-12-01,0.000140625,-0.012578125,-0.01125
2003-12-02,-2.5e-05,0.0051953125,0.0038671875
2003-12-03,-2.5e-05,-0.004921875,-0.006330226171343629
2003-12-04,5.625e-05,0.00875,0.0119140625
2003-12-05,-9.0625e-05,0.0341796875,0.03398198567986375
2003-12-08,8.4375e-05,-0.008203125,-0.009140625
2003-12-09,-0.00010625,-0.0161328125,-0.0158203125
2003-12-10,3.125e-06,0.011484375,0.00984375
2003-12-11,0.00014375,0.02078125,0.01775390625
2003-12-12,1.875e-05,-0.0013671875,-0.00228515625
2003-12-15,-6.25e-05,-0.0065625,-0.00544921875
2003-12-16,7.5e-05,0.0079296875,0.007734375
2003-12-17,3.4375e-05,0.00546875,0.0080859375
2003-12-18,0.000153125,0.00328125,0.005625
2003-12-19,-3.75e-05,0.003828125,0.0017578125
2003-12-22,9.0625e-05,-0.003828125,-0.004220852066967081
2003-12-23,9.375e-06,-0.0183203125,-0.0197265625
2003-12-24,-6.25e-06,0.018046875,0.0171875
2003-12-25,,,
2003-12-26,6.25e-06,,0.009375
2003-12-29,0.000178125,-0.0117578125,-0.016015625
2003-12-30,0.0,-0.0046484375,-0.00625
2003-12-31,3.4375e-05,0.004375,0.00390625
2004-01-01,,,
2004-01-02,-1.875e-05,,-0.0232421875
2004-01-05,0.0001375,-2.4091643019273987e-06,-0.00078125
2004-01-06,2.5e-05,0.02080078125,0.0224609375
2004-01-07,4.375e-05,0.0052734375,0.007421875
2004-01-08,5e-05,0.00087890625,0.0005859375
2004-01-09,-0.00011875,0.03749720375737521,0.034763194611831805
2004-01-12,0.000103125,0.00109375,0.00123046875
2004-01-13,-8.75e-05,0.0123046875,0.010546875
2004-01-14,0.000125,0.00109375,0.00509765625
2004-01-15,2.5e-05,-0.003828125,-0.000703125
2004-01-16,5.9375e-05,-0.0057421875,-0.0073828125
2004-01-19,,,
2004-01-20,-6.25e-06,,-0.006328125
2004-01-21,0.00010625,0.003828125,0.00369140625
2004-01-22,-2.5e-05,0.0109375,0.01265625
2004-01-23,-4.6875e-05,-0.0161328125,-0.016875
2004-01-26,0.000175,-0.00875,-0.01072265625
2004-01-27,-0.000146875,0.0101171875,0.01072265625
2004-01-28,-0.000165625,-0.028984375,-0.02513671875
2004-01-29,1.25e-05,0.002734375,0.00263671875
2004-01-30,-3.125e-06,0.0095703125,0.00984375
2004-02-02,5.625e-05,0.0002734375,-0.00140625
2004-02-03,-1.875e-05,0.010390625,0.0101953125
2004-02-04,-0.0001125,-0.003828125,-0.0031640625
2004-02-05,3.125e-05,-0.0128515625,-0.01037109375
2004-02-06,0.00015625,0.0175,0.01775390625
2004-02-09,1.25e-05,0.006015625,0.0045703125
2004-02-10,4.0625e-05,-0.007109375,-0.006328125
2004-02-11,0.00015,0.0188671875,0.01634765625
2004-02-12,-5.3125e-05,-0.004921875,-0.00439453125
2004-02-13,-6.5625e-05,0.0109375,0.008083829392742313
2004-02-16,,,
2004-02-17,0.000134375,,-0.0005859375
2004-02-18,-6.5625e-05,0.0,-0.00078125
2004-02-19,-5e-05,0.0010913760484008157,0.00078125
2004-02-20,-4.375e-05,-0.009375,-0.0083984375
2004-02-23,-4.6875e-05,0.0111328125,0.0103515625
2004-02-24,-1.875e-05,0.00322265625,0.00409965390707417
2004-02-25,5.625e-05,0.002927457350099307,0.00236328125
2004-02-26,3.125e-06,-0.0046875,-0.00537109375
2004-02-27,1.5625e-05,0.0128125,0.01203125
2004-03-01,0.0001375,-0.004064628133778272,-0.00193359375
2004-03-02,-8.125e-05,-0.01294921875,-0.01181640625
2004-03-03,2.1875e-05,-0.00265625,-0.00193359375
2004-03-04,4.375e-05,0.0073046875,0.008377167370692455
2004-03-05,4.375e-05,0.04647909136557769,0.04827685087198983
2004-03-08,-0.000171875,0.01171875,0.0109375
2004-03-09,-5.625e-05,0.009375,0.0091796875
2004-03-10,-0.000240625,-0.00380859375,-0.0029296875
2004-03-11,-0.000184375,0.0,-0.00078125
2004-03-12,0.000171875,-0.001171875,-0.0017578125
2004-03-15,-0.0001625,-0.0029296875,-0.0025390625
2004-03-16,6.5625e-05,0.0158203125,0.0150390625
2004-03-17,0.000153125,0.0,0.0
2004-03-18,6.25e-06,-0.01201171875,-0.0125
2004-03-19,-0.000196875,-0.0041015625,-0.00625
2004-03-22,-0.000175,0.0123046875,0.0130859375
2004-03-23,-2.5e-05,0.0002907145486864378,0.00078125
2004-03-24,3.125e-06,0.0021875,0.0013653050770624966
2004-03-25,0.00018125,-0.0021875,-0.0038671875
2004-03-26,0.0,-0.01875,-0.02212890625
2004-03-29,0.000196875,-0.0084375,-0.00859375
2004-03-30,5.3125e-05,-0.0015625,-0.00193359375
2004-03-31,-1.25e-05,0.015625,0.01568359375
2004-04-01,0.00010625,-0.0140625,-0.014609375
2004-04-02,0.00010625,-0.051883726166542535,-0.05328617348400727
2004-04-05,7.8125e-05,-0.01142578125,-0.011953125
2004-04-06,-4.375e-05,0.008125,0.00896484375
2004-04-07,-3.125e-05,0.0,0.000703125
2004-04-08,-3.4375e-05,-0.0045703125,-0.00509765625
2004-04-09,,,
2004-04-12,5.625e-05,,-0.0045703125
2004-04-13,-0.000196875,-0.01650390625,-0.01916015625
2004-04-14,1.875e-05,-0.01041015625,-0.00685546875
2004-04-15,-5.9375e-05,-0.003303359078764988,-0.00193359375
2004-04-16,0.0001125,0.01203125,0.01037109375
2004-04-19,-3.125e-06,-0.0057421875,-0.00474609375
2004-04-20,-0.000240625,-0.00875,-0.007384888696561008
2004-04-21,0.0001,-0.00765625,-0.0029296875
2004-04-22,0.000178125,0.0095703125,0.0103515625
2004-04-23,3.4375e-05,-0.01859375,-0.01796875
2004-04-26,-1.875e-05,0.0019140625,0.003515625
2004-04-27,0.0,0.0079296875,0.00703125
2004-04-28,-0.00018125,-0.013400843159253807,-0.0125
2004-04-29,-0.00011875,-0.009375,-0.010546875
2004-04-30,-0.0001,0.00791015625,0.0083984375
2004-05-03,0.000125,-0.001171875,0.0
2004-05-04,-6.25e-06,-0.002931930599456203,-0.004884685958053816
2004-05-05,8.125e-05,-0.005,-0.006875
2004-05-06,-0.0001125,-0.0071875,-0.00623046875
2004-05-07,-0.00021875,-0.041877526275948686,-0.03716796875
2004-05-10,-0.00015,0.00380859375,0.0021484375
2004-05-11,0.000109375,0.00205078125,0.00365234375
2004-05-12,8.125e-05,0.00087890625,-0.00365234375
2004-05-13,-6.25e-05,-0.00908203125,-0.00966796875
2004-05-14,1.25e-05,0.017578125,0.01568359375
2004-05-17,-0.000115625,0.0158203125,0.02041015625
2004-05-18,5.9375e-05,-0.008203125,-0.00859375
2004-05-19,-4.375e-05,-0.010546875,-0.01310546875
2004-05-20,4.6875e-05,0.01318359375,0.01482421875
2004-05-21,2.5e-05,-0.00703125,-0.00880859375
2004-05-24,5e-05,0.0029296875,0.00494140625
2004-05-25,0.0002,0.00234375,0.0038671875
2004-05-26,4.375e-05,0.0146484375,0.01396484375
2004-05-27,8.4375e-05,0.01435546875,0.0167578125
2004-05-28,-3.125e-05,-0.0134765625,-0.01482421875
2004-05-31,,,
2004-06-01,1.25e-05,,-0.006875
2004-06-02,5.3125e-05,-0.00732421875,-0.006875
2004-06-03,-0.00013125,0.00322265625,0.0047265625
2004-06-04,0.000103125,-0.0134765625,-0.01375
2004-06-07,0.0002125,0.0073219615564066,0.00494140625
2004-06-08,2.1875e-05,-0.0009375,0.0
2004-06-09,-0.00013125,-0.0090625,-0.00859375
2004-06-10,6.25e-05,0.0018728803459240092,0.00580078125
2004-06-11,0.0,-0.01361328125,
2004-06-14,-0.000134375,-0.00498046875,-0.0158984375
2004-06-15,0.000103125,0.03851056964516464,0.040388423161400094
2004-06-16,-9.375e-06,-0.00791015625,-0.008203125
2004-06-17,-2.5e-05,0.0052734375,0.0072265625
2004-06-18,3.75e-05,-0.00029296875,-0.0029296875
2004-06-21,-5.9375e-05,0.00556640625,0.0046875
2004-06-22,7.1875e-05,0.0,-0.0025390625
2004-06-23,0.0001125,0.001462619113385997,0.0025390625
2004-06-24,-3.4375e-05,0.0115625,0.010546875
2004-06-25,-7.5e-05,0.0025,0.00019340147032934567
2004-06-28,-4.375e-05,-0.0203125,-0.01955078125
2004-06-29,5e-05,0.00875,0.009453125
2004-06-30,5.9375e-05,0.02,0.019765625
2004-07-01,-0.000178125,0.0134375,0.00923828125
2004-07-02,-6.25e-06,0.0225,0.02298828125
2004-07-05,,,
2004-07-06,-0.000134375,,-0.00322265625
2004-07-07,3.75e-05,0.0,0.000859375
2004-07-08,-9.0625e-05,0.0040625,0.00171875
2004-07-09,2.5e-05,0.0003125,0.00279296875
2004-07-12,9.375e-06,0.0034375,0.0034375
2004-07-13,9.375e-06,-0.0065625,-0.0073046875
2004-07-14,-3.75e-05,-0.0031271188027302854,-0.000859375
2004-07-15,-9.6875e-05,-0.00166015625,-0.00064453125
2004-07-16,-9.375e-06,0.02623046875,0.0262109375
2004-07-19,-5e-05,-0.00232421875,-0.00021484375
2004-07-20,0.000165625,-0.022578125,-0.020625
2004-07-21,-0.00026875,-0.00697265625,-0.00666015625
2004-07-22,4.0625e-05,0.00298828125,0.00451171875
2004-07-23,-0.000103125,0.00431640625,0.00623046875
2004-07-26,-3.125e-05,-0.0073046875,-0.006875
2004-07-27,0.00011875,-0.02125,-0.02255859375
2004-07-28,3.75e-05,0.0059765625,0.0047265625
2004-07-29,5.9375e-05,0.0046484375,0.0038671875
2004-07-30,9.375e-06,0.01892578125,0.020625
2004-08-02,5.625e-05,0.0046484375,0.004296875
2004-08-03,-0.000103125,0.00498046875,0.0055859375
2004-08-04,-3.125e-06,0.0,-0.00171875
2004-08-05,-0.00023125,0.00564453125,0.00580078125
2004-08-06,-0.0001875,0.04747523095689897,0.04103298546177112
2004-08-09,9.375e-06,-0.00556640625,-0.0060546875
2004-08-10,0.00015,-0.01318359375,-0.0087890625
2004-08-11,-6.25e-06,0.00380859375,0.003125
2004-08-12,-0.00015,0.0064453125,0.0046875
2004-08-13,3.125e-05,0.0099609375,0.0083984375
2004-08-16,0.000140625,-0.00498046875,-0.00625
2004-08-17,6.875e-05,0.009375,0.0103515625
2004-08-18,0.00014375,-0.00322265625,-0.0046875
2004-08-19,-4.0625e-05,0.0052734375,0.0033184145870062097
2004-08-20,9.375e-05,-0.006154609654451265,-0.00451171875
2004-08-23,-3.125e-05,-0.0075,-0.00923828125
2004-08-24,1.5625e-05,0.0009375,0.000859375
2004-08-25,7.8125e-05,0.000625,0.0030078125
2004-08-26,9.375e-06,0.005622891882428673,0.007734375
2004-08-27,4.6875e-05,0.0,-1.7235641190462131e-06
2004-08-30,-0.000115625,0.00763671875,0.00890625
2004-08-31,6.25e-05,0.0139453125,0.01265625
2004-09-01,3.4375e-05,0.0036503597345882224,0.003984375
2004-09-02,0.000159375,-0.01265625,-0.013125
2004-09-03,-6.25e-05,-0.0249609375,-0.021796875
2004-09-06,,,
2004-09-07,9.6875e-05,,0.009140625
2004-09-08,-4.375e-05,0.023552403934946547,0.020859375
2004-09-09,-1.5625e-05,-0.00498046875,-0.004921875
2004-09-10,7.1875e-05,0.003984375,0.004921875
2004-09-13,5.625e-05,0.0033203125,0.00609375
2004-09-14,2.1875e-05,0.0059765625,0.0046875
2004-09-15,-0.000115625,-0.00830078125,-0.00890625
2004-09-16,4.6875e-05,0.02025390625,0.0215625
2004-09-17,5.625e-05,-0.01294921875,-0.011015625
2004-09-20,-8.4375e-05,0.01693359375,0.0159375
2004-09-21,6.25e-05,-0.0019921875,0.002578125
2004-09-22,-0.000178125,0.0046484375,0.0084375
2004-09-23,-7.1875e-05,-0.01228515625,-0.01078125
2004-09-24,5.3125e-05,-0.00298828125,-0.000703125
2004-09-27,-7.8125e-05,0.0086328125,0.00703125
2004-09-28,5.625e-05,0.00099609375,-0.001875
2004-09-29,6.875e-05,-0.01626953125,-0.018046875
2004-09-30,-3.125e-06,0.0,-0.004453125
2004-10-01,0.000228125,-0.01162109375,-0.0140625
2004-10-04,2.8125e-05,0.0009941014552411745,0.00328125
2004-10-05,1.25e-05,0.002109375,0.001875
2004-10-06,7.8125e-05,-0.0123046875,-0.01171875
2004-10-07,-0.000140625,-0.0038671875,-0.004921875
2004-10-08,-0.00011875,0.0277734375,0.024138874954276184
2004-10-11,5e-05,,
2004-10-12,-4.375e-05,,0.006875
2004-10-13,-0.000128125,0.0094921875,0.00708984375
2004-10-14,-0.000115625,0.0130078125,0.01203125
2004-10-15,6.5625e-05,-0.0108984375,-0.00837890625
2004-10-18,5.9375e-05,0.000703125,0.00021484375
2004-10-19,-0.00011875,0.0,0.0012890625
2004-10-20,-2.1875e-05,0.0101953125,0.00966796875
2004-10-21,7.5e-05,-0.0031640625,-0.0012890625
2004-10-22,-0.000146875,0.0045703125,0.00408203125
2004-10-25,-9.375e-06,0.004568434855314214,0.004296875
2004-10-26,0.000203125,-0.00259765625,-0.0021484375
2004-10-27,0.000165625,-0.022265625,-0.019765625
2004-10-28,3.4375e-05,0.00482421875,0.00279296875
2004-10-29,3.4375e-05,0.010390625,0.01009765625
2004-11-01,6.25e-06,-0.011875,-0.01181640625
2004-11-02,-3.125e-06,0.004453125,0.00279296875
