,sp500,gas
1994-12-08,-4.681748285416873,-20.0
1994-12-09,-4.734878861100999,-20.0
1994-12-12,-4.7961839350878614,-18.709369789912763
1994-12-13,-4.854546357215812,-17.820806227379965
1994-12-14,-4.90032552471964,-17.4527176968283
1994-12-15,-4.9491868912779236,-17.16262823203962
1994-12-16,-4.99240001476989,-16.86993856103949
1994-12-19,-5.03974873968119,-16.759939069179357
1994-12-20,-5.090390469324019,-16.72480283326295
1994-12-21,-5.127288097287205,-16.53515913146799
1994-12-22,-5.168247258785243,-15.770187104459758
1994-12-23,-5.213714468053423,-15.11286372084555
1994-12-26,-5.213714468053423,-15.11286372084555
1994-12-27,-5.260780155010789,-14.615246685748653
1994-12-28,-5.309928189861271,-14.214925437367548
1994-12-29,-5.3625622334670195,-13.888672140734927
1994-12-30,-5.410848636185272,-13.6414407765278
1995-01-02,-5.410848636185272,-13.6414407765278
1995-01-03,-5.467386525798317,-13.394171333908824
1995-01-04,-5.518519750370623,-13.191367867201384
1995-01-05,-5.573571974291004,-13.012205883733095
1995-01-06,-5.632108513778809,-12.847946823994056
1995-01-09,-5.692321637634363,-12.693991145414318
1995-01-10,-5.754837848728183,-12.554720258486332
1995-01-11,-5.819806423836625,-12.42631351298193
1995-01-12,-5.887355720083176,-12.121652357649758
1995-01-13,-5.923404848129494,-11.53182483138782
1995-01-16,-5.957163067175124,-11.092143794700881
1995-01-17,-5.997383136537201,-10.70510010983393
1995-01-18,-6.041883142523096,-10.328985197710722
1995-01-19,-6.08254294294483,-9.968452436808407
1995-01-20,-6.127118082852446,-9.668002421048305
1995-01-23,-6.175674865496996,-9.362689191794013
1995-01-24,-6.228811511314142,-11.444907466661297
1995-01-25,-6.281807310295454,-12.953507942384988
1995-01-26,-6.336316579206284,-14.187204807943965
1995-01-27,-6.394532324105515,-14.87122283161958
1995-01-30,-6.451412341401816,-15.33493464484504
1995-01-31,-6.502540153293933,-15.643709158497048
1995-02-01,-6.557885174832597,-15.622638200469709
1995-02-02,-6.603445055609681,-15.365073022745118
1995-02-03,-6.5949099348094835,-14.887837518856006
1995-02-06,-6.595894984168757,-14.60291658178163
1995-02-07,-6.606739489053949,-15.350750492797742
1995-02-08,-6.6243129003036305,-15.934214260504348
1995-02-09,-6.649582693235621,-16.087682599443806
1995-02-10,-6.6810001834655415,-15.6537108710685
1995-02-13,-6.717337542858598,-15.347447894050951
1995-02-14,-6.758922123874981,-14.952453382769416
1995-02-15,-6.791978856986975,-14.403297171301539
1995-02-16,-6.82867610440644,-13.784005283823394
1995-02-17,-6.861105877917561,-12.326181997236041
1995-02-20,-6.861105877917561,-12.326181997236041
1995-02-21,-6.901685512791915,-10.754506674894287
1995-02-22,-6.935001162518001,-9.493401590673374
1995-02-23,-6.971297168590021,-11.35058911865161
1995-02-24,-7.012451367310413,-12.817325720564392
1995-02-27,-7.025123403627242,-14.211614614575502
1995-02-28,-7.026337621661106,-15.080743946639785
1995-03-01,-7.0266134123612805,-15.647453173077546
1995-03-02,-7.184848403088364,-16.230298585494793
1995-03-03,-7.3329833055242695,-16.959199063114376
1995-03-06,-7.45733760941141,-17.953628575118675
1995-03-07,-7.5288329870015,-18.820370628117548
1995-03-08,-7.61671084476982,-19.084084116918792
1995-03-09,-7.69861499528808,-19.38524424016934
1995-03-10,-7.673609988293635,-19.63449743907087
1995-03-13,-7.6909142118421965,-19.910011418492612
1995-03-14,-7.7007902397388035,-20.0
1995-03-15,-7.719042119233469,-20.0
1995-03-16,-7.733581135284933,-20.0
1995-03-17,-7.758506281854802,-20.0
1995-03-20,-7.792429367284063,-20.0
1995-03-21,-7.832418164400491,-20.0
1995-03-22,-7.879482987712829,-20.0
1995-03-23,-7.9327837115543876,-20.0
1995-03-24,-7.939901359164229,-20.0
1995-03-27,-7.9542151968489385,-20.0
1995-03-28,-7.977647246894578,-20.0
1995-03-29,-8.0066799047171,-20.0
1995-03-30,-8.043433606064513,-20.0
1995-03-31,-8.078621310941775,-20.0
1995-04-03,-8.121334895485019,-20.0
1995-04-04,-8.155634143207505,-20.0
1995-04-05,-8.196445236608255,-20.0
1995-04-06,-8.24364894585157,-20.0
1995-04-07,-8.293206439733028,-20.0
1995-04-10,-8.34734098426658,-20.0
1995-04-11,-8.39818669824463,-20.0
1995-04-12,-8.448585531449492,-20.0
1995-04-13,-8.497189176609753,-20.0
1995-04-14,-8.497189176609753,-20.0
1995-04-17,-8.519069210757051,-20.0
1995-04-18,-8.550599201351117,-20.0
1995-04-19,-8.588454186436,-20.0
1995-04-20,-8.633383595936847,-20.0
1995-04-21,-8.665640930688507,-20.0
1995-04-24,-8.666276999766099,-20.0
1995-04-25,-8.672531211912691,-20.0
1995-04-26,-8.6898316261369,-20.0
1995-04-27,-8.715692422924304,-20.0
1995-04-28,-8.74752349923688,-20.0
1995-05-01,-8.780108871858369,-20.0
1995-05-02,-8.817802492275097,-20.0
1995-05-03,-8.80270324606342,-20.0
1995-05-04,-8.800872394550316,-20.0
1995-05-05,-8.802329109374075,-20.0
1995-05-08,-8.794274670581634,-20.0
1995-05-09,-8.79478173813212,-20.0
1995-05-10,-8.805692442548306,-20.0
1995-05-11,-8.82494573547315,-20.0
1995-05-12,-8.852303663261049,-20.0
1995-05-15,-8.878229219995845,-20.0
1995-05-16,-8.908974073180866,-20.0
1995-05-17,-8.93587029701959,-20.0
1995-05-18,-8.860064708364654,-20.0
1995-05-19,-8.802703557746065,-20.0
1995-05-22,-8.736421258998558,-20.0
1995-05-23,-8.668734385081898,-20.0
1995-05-24,-8.618719105706607,-20.0
1995-05-25,-8.584445460629158,-20.0
1995-05-26,-8.530348116571357,-20.0
1995-05-29,-8.530348116571357,-20.0
1995-05-30,-8.488052590168339,-20.0
1995-05-31,-8.382842829002616,-20.0
1995-06-01,-8.303122357576024,-20.0
1995-06-02,-8.290295413994503,-20.0
1995-06-05,-8.279904612533665,-20.0
1995-06-06,-8.278387752345223,-20.0
1995-06-07,-8.288711854268572,-20.0
1995-06-08,-8.30534848218662,-20.0
1995-06-09,-8.317410467524192,-20.0
